Customer ID;Count;Country;State;City;Zip Code;Lat Long;Latitude;Longitude
4412-YLTKF;1;United States;California;Pico Rivera;90660;33.989524, -118.089299;33,989524;-118,089299
7273-TEFQD;1;United States;California;La Puente;91746;34.038983, -117.991372;34,038983;-117,991372
3488-PGMQJ;1;United States;California;Alpine;91901;32.827184, -116.703729;32,827184;-116,703729
8098-LLAZX;1;United States;California;San Diego;92122;32.85723, -117.209756;32,857230;-117,209774
2840-XANRC;1;United States;California;San Diego;92122;32.85723, -117.209760;32,857230;-117,209774
5020-ZSTTY;1;United States;California;San Diego;92122;32.85723, -117.209761;32,857230;-117,209774
4895-TMWIR;1;United States;California;San Diego;92122;32.85723, -117.209778;32,857230;-117,209774
0334-GDDSO;1;United States;California;San Diego;92122;32.85723, -117.209784;32,857230;-117,209774
3419-SNJJD;1;United States;California;Yorba Linda;92887;33.884073, -117.732197;33,884073;-117,732197
4554-YGZIH;1;United States;California;Summerland;93067;34.420998, -119.60137;34,420998;-119,601370
5099-BAILX;1;United States;California;Santa Barbara;93101;34.419203, -119.710008;34,419203;-119,710008
0067-DKWBL;1;United States;California;San Diego;92129;32.961064, -117.134917;32,961064;-117,134917
6683-VLCTZ;1;United States;California;San Diego;92129;32.961064, -117.134917;32,961064;-117,134917
9231-ZJYAM;1;United States;California;Squaw Valley;93675;36.719141, -119.202677;36,719141;-119,202677
1907-UBQFC;1;United States;California;San Francisco;94108;37.791998, -122.408653;37,791998;-122,408653
7028-DVOIQ;1;United States;California;Birds Landing;94512;38.140719, -121.838298;38,140719;-121,838298
6646-QVXLR;1;United States;California;Napa;94558;38.489789, -122.27011;38,489789;-122,270110
4145-UQXUQ;1;United States;California;Berkeley;94710;37.872902, -122.303708;37,872902;-122,303708
1236-WFCDV;1;United States;California;Greenbrae;94904;37.946617, -122.563571;37,946617;-122,563571
5293-WXJAK;1;United States;California;San Jose;95135;37.28682, -121.723877;37,286820;-121,723877
4086-YQSNZ;1;United States;California;Glencoe;95232;38.358464, -120.579304;38,358464;-120,579304
8399-YNDCH;1;United States;California;Columbia;95310;38.085839, -120.37855;38,085839;-120,378550
5565-FILXA;1;United States;California;Escondido;92027;33.141265, -116.967221;33,141265;-116,967221
4187-CINZD;1;United States;California;Lakewood;90712;33.840524, -118.148403;33,840524;-118,148403
9134-CEQMF;1;United States;California;Nice;95464;39.12334, -122.838198;39,123340;-122,838198
3372-KWFBM;1;United States;California;Bayside;95524;40.825486, -124.049485;40,825486;-124,049485
3793-MMFUH;1;United States;California;Davis;95618;38.544002, -121.685559;38,544002;-121,685559
5419-CONWX;1;United States;California;Pleasant Grove;95668;38.833554, -121.498102;38,833554;-121,498102
2761-OCIAX;1;United States;California;Palo Cedro;96073;40.582399, -122.195512;40,582399;-122,195512
4248-QPAVC;1;United States;California;San Diego;92130;32.957195, -117.202542;32,957195;-117,202542
7279-BUYWN;1;United States;California;Buena Park;90620;33.845706, -118.012204;33,845706;-118,012204
7156-MHUGY;1;United States;California;Buena Park;90621;33.874224, -117.993368;33,874224;-117,993368
9606-PBKBQ;1;United States;California;Long Beach;90813;33.781086, -118.199049;33,781086;-118,199049
4514-GFCFI;1;United States;California;San Diego;92117;32.825086, -117.199424;32,825086;-117,199424
5931-FLJJF;1;United States;California;Midway City;92655;33.744439, -117.98588;33,744439;-117,985880
3207-OYBWH;1;United States;California;Newport Beach;92661;33.601309, -117.902304;33,601309;-117,902304
2774-LVQUS;1;United States;California;Temecula;92592;33.507255, -117.029473;33,507255;-117,029473
9898-KZQDZ;1;United States;California;Lee Vining;93541;37.890145, -119.184087;37,890145;-119,184087
8245-UMPYT;1;United States;California;Lockwood;93932;35.989792, -121.055933;35,989792;-121,055933
3269-ATYWD;1;United States;California;San Francisco;94123;37.800254, -122.436975;37,800254;-122,436975
5539-TMZLF;1;United States;California;Concord;94520;38.013825, -122.039144;38,013825;-122,039144
1724-BQUHA;1;United States;California;Los Gatos;95032;37.233034, -121.947427;37,233034;-121,947427
2454-RPBRZ;1;United States;California;Catheys Valley;95306;37.394411, -120.127262;37,394411;-120,127262
7409-KIUTL;1;United States;California;Escondido;92027;33.141265, -116.967221;33,141265;-116,967221
6022-UGGSO;1;United States;California;Citrus Heights;95610;38.69508, -121.271616;38,695080;-121,271616
8679-JOEVF;1;United States;California;Sacramento;95838;38.646096, -121.442433;38,646096;-121,442433
7890-VYYWG;1;United States;California;Sutter;95982;39.172777, -121.805845;39,172777;-121,805845
9710-ZUSHQ;1;United States;California;Red Bluff;96080;40.186772, -122.388361;40,186772;-122,388361
9885-CSMWE;1;United States;California;Los Angeles;90007;34.027337, -118.28515;34,027337;-118,285150
7657-DYEPJ;1;United States;California;Los Angeles;90024;34.066303, -118.435479;34,066303;-118,435479
8414-MYSHR;1;United States;California;Arcadia;91007;34.128284, -118.047732;34,128284;-118,047732
6210-KBBPI;1;United States;California;West Covina;91790;34.066964, -117.937007;34,066964;-117,937007
8623-TMRBY;1;United States;California;Chula Vista;91915;32.605012, -116.97595;32,605012;-116,975950
1771-OADNZ;1;United States;California;Pauma Valley;92061;33.313828, -116.940501;33,313828;-116,940501
