Customer ID;Count;Quarter;Referred a Friend;Number of Referrals;Tenure in Months;Offer;Phone Service;Avg Monthly Long Distance Charges;Multiple Lines;Internet Service;Internet Type;Avg Monthly GB Download;Online Security;Online Backup;Device Protection Plan;Premium Tech Support;Streaming TV;Streaming Movies;Streaming Music;Unlimited Data;Contract;Paperless Billing;Payment Method;Monthly Charge;Total Charges;Total Refunds;Total Extra Data Charges;Total Long Distance Charges;Total Revenue
1658-BYGOY;1;Q3;No;0;18;Offer D;Yes;£11,33;Yes;Yes;Fiber Optic;52;No;No;No;No;Yes;Yes;Yes;Yes;Month-to-Month;Yes;Bank Withdrawal;£95,45;£1.752,55;£45,61;£0,00;£203,94;£1.910,88
4846-WHAFZ;1;Q3;Yes;1;37;Offer C;Yes;£6,33;Yes;Yes;Fiber Optic;14;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£76,50;£2.868,15;£0,00;£0,00;£234,21;£3.102,36
4412-YLTKF;1;Q3;No;0;27;Offer C;Yes;£3,33;Yes;Yes;Fiber Optic;18;No;No;Yes;No;No;No;No;No;Month-to-Month;Yes;Bank Withdrawal;£78,05;£2.135,50;£0,00;£10,00;£89,91;£2.235,41
0390-DCFDQ;1;Q3;Yes;1;1;Offer E;Yes;£15,28;No;Yes;Fiber Optic;30;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Mailed Check;£70,45;£70,45;£0,00;£0,00;£15,28;£85,73
0094-OIFMO;1;Q3;No;0;11;Offer D;Yes;£11,59;No;Yes;Fiber Optic;29;No;Yes;No;No;Yes;Yes;No;No;Month-to-Month;Yes;Bank Withdrawal;£95,00;£1.120,30;£0,00;£120,00;£127,49;£1.367,79
3606-TWKGI;1;Q3;No;0;13;Offer D;Yes;£32,68;Yes;Yes;Cable;11;No;Yes;Yes;No;Yes;Yes;No;No;Month-to-Month;Yes;Bank Withdrawal;£106,90;£1.364,30;£0,00;£10,00;£424,84;£1.799,14
4385-GZQXV;1;Q3;No;0;16;Offer D;Yes;£9,43;No;Yes;Fiber Optic;9;No;No;No;Yes;Yes;Yes;Yes;Yes;Month-to-Month;Yes;Bank Withdrawal;£94,45;£1.511,20;£0,00;£0,00;£150,88;£1.662,08
7534-BFESC;1;Q3;No;0;24;Offer C;Yes;£30,87;Yes;Yes;Fiber Optic;15;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£76,10;£1.712,70;£0,00;£0,00;£740,88;£2.453,58
0265-EDXBD;1;Q3;Yes;2;32;Offer C;Yes;£47,34;Yes;Yes;Fiber Optic;10;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£74,90;£2.303,35;£0,00;£0,00;£1.514,88;£3.818,23
5804-LEPIM;1;Q3;No;0;2;Offer E;Yes;£13,17;No;Yes;Fiber Optic;10;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£70,35;£139,05;£0,00;£0,00;£26,34;£165,39
0623-IIHUG;1;Q3;No;0;21;None;No;£0,00;No;Yes;Cable;8;Yes;No;No;No;Yes;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£41,90;£840,10;£0,00;£0,00;£0,00;£840,10
0533-BNWKF;1;Q3;Yes;2;55;Offer B;Yes;£42,82;Yes;Yes;Fiber Optic;27;No;Yes;Yes;No;No;No;No;No;Month-to-Month;Yes;Bank Withdrawal;£85,45;£4.874,70;£0,00;£90,00;£2.355,10;£7.319,80
5099-BAILX;1;Q3;Yes;1;43;Offer B;Yes;£14,52;Yes;Yes;Fiber Optic;5;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£110,75;£4.687,90;£0,00;£0,00;£624,36;£5.312,26
5644-PDMZC;1;Q3;No;0;2;None;Yes;£47,47;Yes;Yes;Fiber Optic;19;No;Yes;No;No;No;Yes;Yes;Yes;Month-to-Month;No;Bank Withdrawal;£89,50;£161,50;£0,00;£0,00;£94,94;£256,44
4160-AMJTL;1;Q3;No;0;8;None;Yes;£27,95;No;No;None;0;No;No;No;No;No;No;No;No;Month-to-Month;No;Bank Withdrawal;£19,65;£164,30;£0,00;£0,00;£223,60;£387,90
0947-MUGVO;1;Q3;Yes;1;20;None;Yes;£5,37;No;Yes;Fiber Optic;24;No;Yes;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£73,65;£1.463,50;£0,00;£0,00;£107,40;£1.570,90
7028-DVOIQ;1;Q3;No;0;35;None;Yes;£20,83;Yes;Yes;Fiber Optic;19;No;No;Yes;No;Yes;Yes;No;No;Month-to-Month;Yes;Bank Withdrawal;£99,05;£3.395,80;£0,00;£120,00;£729,05;£4.244,85
4208-UFFGW;1;Q3;No;0;2;Offer E;Yes;£26,62;No;Yes;DSL;11;No;No;No;No;No;No;No;Yes;Month-to-Month;No;Credit Card;£44,95;£85,15;£0,00;£0,00;£53,24;£138,39
1989-PRJHP;1;Q3;Yes;1;27;None;Yes;£10,60;Yes;Yes;Fiber Optic;23;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£75,50;£1.893,95;£0,00;£0,00;£286,20;£2.180,15
4184-TJFAN;1;Q3;Yes;1;3;Offer E;Yes;£25,77;No;Yes;Fiber Optic;2;Yes;No;No;Yes;Yes;No;No;Yes;Month-to-Month;Yes;Mailed Check;£88,30;£273,75;£0,00;£0,00;£77,31;£351,06
1236-WFCDV;1;Q3;No;0;14;None;Yes;£11,31;No;Yes;Fiber Optic;24;No;No;No;No;Yes;Yes;No;Yes;Month-to-Month;No;Credit Card;£90,45;£1.266,10;£0,00;£0,00;£158,34;£1.424,44
1271-SJBGZ;1;Q3;No;0;12;None;No;£0,00;No;Yes;DSL;10;No;No;Yes;Yes;No;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£43,65;£526,95;£0,00;£0,00;£0,00;£526,95
4086-YQSNZ;1;Q3;Yes;1;3;Offer E;Yes;£3,29;No;Yes;Fiber Optic;9;No;No;No;No;Yes;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£80,40;£224,05;£0,00;£0,00;£9,87;£233,92
