Customer ID;Count;Quarter;Satisfaction Score;Satisfaction Score Label;Customer Status;Churn Label;Churn Value;Churn Score;Churn Score Category;CLTV;CLTV Category;Churn Category;Churn Reason
0390-DCFDQ;1;Q3;2;2;Churned;Yes;1;76;71-80;3.964;3501-4000;Other;Don't know
3445-HXXGF;1;Q3;1;1;Churned;Yes;1;91;91-100;5.444;5001-5500;Dissatisfaction;Service dissatisfaction
9947-OTFQU;1;Q3;1;1;Churned;Yes;1;86;81-90;4.616;4501-5000;Competitor;Competitor had better devices
7273-TEFQD;1;Q3;2;2;Churned;Yes;1;96;91-100;2.314;2000-2500;Price;Long distance charges
3606-TWKGI;1;Q3;1;1;Churned;Yes;1;84;81-90;2.494;2000-2500;Competitor;Competitor had better devices
3488-PGMQJ;1;Q3;2;2;Churned;Yes;1;80;71-80;4.345;4001-4500;Dissatisfaction;Poor expertise of online support
0265-EDXBD;1;Q3;2;2;Churned;Yes;1;69;61-70;4.105;4001-4500;Attitude;Attitude of support person
5020-ZSTTY;1;Q3;1;1;Churned;Yes;1;83;81-90;4.149;4001-4500;Competitor;Competitor made better offer
0533-BNWKF;1;Q3;1;1;Churned;Yes;1;91;91-100;5.502;5501-6000;Competitor;Competitor made better offer
5564-NEMQO;1;Q3;2;2;Churned;Yes;1;67;61-70;4.902;4501-5000;Dissatisfaction;Network reliability
6235-VDHOM;1;Q3;2;2;Churned;Yes;1;89;81-90;4.099;4001-4500;Dissatisfaction;Limited range of services
5192-EBGOV;1;Q3;1;1;Churned;Yes;1;66;61-70;4.880;4501-5000;Competitor;Competitor had better devices
5099-BAILX;1;Q3;2;2;Churned;Yes;1;65;61-70;2.728;2501-3000;Competitor;Competitor made better offer
5644-PDMZC;1;Q3;2;2;Churned;Yes;1;80;71-80;2.065;2000-2500;Attitude;Attitude of support person
4160-AMJTL;1;Q3;2;2;Churned;Yes;1;83;81-90;5.432;5001-5500;Attitude;Attitude of support person
0823-HSCDJ;1;Q3;2;2;Churned;Yes;1;90;81-90;5.597;5501-6000;Competitor;Competitor made better offer
0691-IFBQW;1;Q3;1;1;Churned;Yes;1;81;81-90;2.403;2000-2500;Competitor;Competitor made better offer
6646-QVXLR;1;Q3;1;1;Churned;Yes;1;91;91-100;5.052;5001-5500;Competitor;Competitor had better devices
4822-RVYBB;1;Q3;1;1;Churned;Yes;1;90;81-90;5.906;5501-6000;Attitude;Attitude of support person
4184-TJFAN;1;Q3;1;1;Churned;Yes;1;68;61-70;4.486;4001-4500;Attitude;Attitude of support person
1236-WFCDV;1;Q3;3;3;Churned;Yes;1;96;91-100;4.777;4501-5000;Competitor;Competitor offered more data
7029-RPUAV;1;Q3;3;3;Churned;Yes;1;87;81-90;5.508;5501-6000;Competitor;Competitor offered more data
5293-WXJAK;1;Q3;3;3;Churned;Yes;1;82;81-90;4.553;4501-5000;Competitor;Competitor offered more data
5565-FILXA;1;Q3;2;2;Churned;Yes;1;96;91-100;5.913;5501-6000;Other;Don't know
6818-WOBHJ;1;Q3;1;1;Churned;Yes;1;69;61-70;5.651;5501-6000;Competitor;Competitor had better devices
1768-ZAIFU;1;Q3;1;1;Churned;Yes;1;67;61-70;5.688;5501-6000;Competitor;Competitor made better offer
6567-HOOPW;1;Q3;3;3;Churned;Yes;1;76;71-80;4.363;4001-4500;Competitor;Competitor made better offer
9809-IMGCQ;1;Q3;1;1;Churned;Yes;1;93;91-100;4.458;4001-4500;Competitor;Competitor made better offer
8580-AECUZ;1;Q3;3;3;Churned;Yes;1;92;91-100;5.001;5001-5500;Competitor;Competitor made better offer
7279-BUYWN;1;Q3;1;1;Churned;Yes;1;89;81-90;3.380;3001-3500;Attitude;Attitude of support person
9606-PBKBQ;1;Q3;1;1;Churned;Yes;1;94;91-100;4.584;4501-5000;Attitude;Attitude of support person
3536-IQCTX;1;Q3;1;1;Churned;Yes;1;75;71-80;2.712;2501-3000;Competitor;Competitor had better devices
7776-QWNFX;1;Q3;3;3;Churned;Yes;1;83;81-90;4.795;4501-5000;Attitude;Attitude of support person
4795-KTRTH;1;Q3;1;1;Churned;Yes;1;91;91-100;4.287;4001-4500;Competitor;Competitor made better offer
4140-MUHUG;1;Q3;2;2;Churned;Yes;1;70;61-70;3.561;3501-4000;Attitude;Attitude of service provider
1587-FKLZB;1;Q3;1;1;Churned;Yes;1;96;91-100;4.479;4001-4500;Competitor;Competitor had better devices
4094-NSEDU;1;Q3;2;2;Churned;Yes;1;73;71-80;4.819;4501-5000;Competitor;Competitor made better offer
1846-XWOQN;1;Q3;2;2;Churned;Yes;1;71;71-80;2.825;2501-3000;Competitor;Competitor made better offer
9898-KZQDZ;1;Q3;1;1;Churned;Yes;1;95;91-100;5.676;5501-6000;Competitor;Competitor had better devices
3269-ATYWD;1;Q3;1;1;Churned;Yes;1;65;61-70;4.892;4501-5000;Other;Don't know
0354-WYROK;1;Q3;2;2;Churned;Yes;1;91;91-100;4.050;4001-4500;Other;Don't know
5539-TMZLF;1;Q3;1;1;Churned;Yes;1;69;61-70;5.057;5001-5500;Competitor;Competitor had better devices
6861-XWTWQ;1;Q3;2;2;Churned;Yes;1;90;81-90;2.487;2000-2500;Attitude;Attitude of support person
1724-BQUHA;1;Q3;2;2;Churned;Yes;1;66;61-70;2.718;2501-3000;Attitude;Attitude of support person
4826-XTSOH;1;Q3;1;1;Churned;Yes;1;96;91-100;4.843;4501-5000;Competitor;Competitor had better devices
2634-HCZGT;1;Q3;1;1;Churned;Yes;1;77;71-80;5.271;5001-5500;Other;Moved
3001-CBHLQ;1;Q3;1;1;Churned;Yes;1;79;71-80;3.966;3501-4000;Attitude;Attitude of support person
4102-OQUPX;1;Q3;3;3;Churned;Yes;1;91;91-100;5.429;5001-5500;Competitor;Competitor made better offer
8802-UNOJF;1;Q3;1;1;Churned;Yes;1;78;71-80;5.565;5501-6000;Competitor;Competitor had better devices
6313-GIDIT;1;Q3;2;2;Churned;Yes;1;65;61-70;6.280;6001-6500;Price;Price too high
1891-FZYSA;1;Q3;1;1;Churned;Yes;1;82;81-90;6.363;6001-6500;Competitor;Competitor had better devices
6022-UGGSO;1;Q3;1;1;Churned;Yes;1;90;81-90;2.091;2000-2500;Competitor;Competitor had better devices
3677-IYRBF;1;Q3;1;1;Churned;Yes;1;90;81-90;4.002;4001-4500;Attitude;Attitude of support person
5277-ZLOOR;1;Q3;3;3;Churned;Yes;1;86;81-90;5.512;5501-6000;Dissatisfaction;Network reliability
9174-FKWZE;1;Q3;1;1;Churned;Yes;1;78;71-80;3.848;3501-4000;Dissatisfaction;Limited range of services
4803-AXVYP;1;Q3;1;1;Churned;Yes;1;91;91-100;3.474;3001-3500;Dissatisfaction;Service dissatisfaction
5649-ANRML;1;Q3;3;3;Churned;Yes;1;90;81-90;4.486;4001-4500;Other;Poor expertise of online support
7890-VYYWG;1;Q3;1;1;Churned;Yes;1;89;81-90;3.766;3501-4000;Competitor;Competitor had better devices
8058-JMEQO;1;Q3;3;3;Churned;Yes;1;95;91-100;3.543;3501-4000;Competitor;Competitor made better offer
7657-DYEPJ;1;Q3;3;3;Churned;Yes;1;82;81-90;2.645;2501-3000;Price;Lack of affordable download/upload speed
8276-MQBYC;1;Q3;2;2;Churned;Yes;1;81;81-90;6.204;6001-6500;Price;Long distance charges
6015-VVHHE;1;Q3;3;3;Churned;Yes;1;96;91-100;2.516;2501-3000;Dissatisfaction;Service dissatisfaction
7580-UGXNC;1;Q3;1;1;Churned;Yes;1;96;91-100;3.016;3001-3500;Price;Extra data charges
5178-LMXOP;1;Q3;1;1;Churned;Yes;1;70;61-70;5.795;5501-6000;Price;Price too high
1624-NALOJ;1;Q3;1;1;Churned;Yes;1;88;81-90;2.960;2501-3000;Other;Moved
6210-KBBPI;1;Q3;1;1;Churned;Yes;1;93;91-100;2.313;2000-2500;Competitor;Competitor had better devices
8623-TMRBY;1;Q3;2;2;Churned;Yes;1;74;71-80;6.245;6001-6500;Competitor;Competitor offered more data
7579-OOPEC;1;Q3;1;1;Churned;Yes;1;78;71-80;5.461;5001-5500;Competitor;Competitor had better devices
4201-JMNGR;1;Q3;1;1;Churned;Yes;1;87;81-90;5.527;5501-6000;Dissatisfaction;Service dissatisfaction
8631-NBHFZ;1;Q3;1;1;Churned;Yes;1;73;71-80;5.910;5501-6000;Competitor;Competitor offered higher download speeds
4958-XCBDQ;1;Q3;3;3;Churned;Yes;1;92;91-100;3.689;3501-4000;Competitor;Competitor offered more data
